Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY
21-08-2012,2012,3,8,21,20120821,August,Aug 2012,Q3 2012,1,Tuesday,26-Aug-12,35,20120800,20120300,12,FY13
22-08-2012,2012,3,8,22,20120822,August,Aug 2012,Q3 2012,2,Wednesday,26-Aug-12,35,20120800,20120300,12,FY13
23-08-2012,2012,3,8,23,20120823,August,Aug 2012,Q3 2012,3,Thursday,26-Aug-12,35,20120800,20120300,12,FY13
24-08-2012,2012,3,8,24,20120824,August,Aug 2012,Q3 2012,4,Friday,26-Aug-12,35,20120800,20120300,12,FY13
25-08-2012,2012,3,8,25,20120825,August,Aug 2012,Q3 2012,5,Saturday,26-Aug-12,35,20120800,20120300,12,FY13
26-08-2012,2012,3,8,26,20120826,August,Aug 2012,Q3 2012,6,Sunday,26-Aug-12,35,20120800,20120300,12,FY13
27-08-2012,2012,3,8,27,20120827,August,Aug 2012,Q3 2012,0,Monday,02-Sep-12,36,20120800,20120300,12,FY13
28-08-2012,2012,3,8,28,20120828,August,Aug 2012,Q3 2012,1,Tuesday,02-Sep-12,36,20120800,20120300,12,FY13
29-08-2012,2012,3,8,29,20120829,August,Aug 2012,Q3 2012,2,Wednesday,02-Sep-12,36,20120800,20120300,12,FY13
30-08-2012,2012,3,8,30,20120830,August,Aug 2012,Q3 2012,3,Thursday,02-Sep-12,36,20120800,20120300,12,FY13
31-08-2012,2012,3,8,31,20120831,August,Aug 2012,Q3 2012,4,Friday,02-Sep-12,36,20120800,20120300,12,FY13
01-09-2012,2012,3,9,1,20120901,September,Sep 2012,Q3 2012,5,Saturday,02-Sep-12,36,20120900,20120300,12,FY13
02-09-2012,2012,3,9,2,20120902,September,Sep 2012,Q3 2012,6,Sunday,02-Sep-12,36,20120900,20120300,12,FY13
03-09-2012,2012,3,9,3,20120903,September,Sep 2012,Q3 2012,0,Monday,09-Sep-12,37,20120900,20120300,12,FY13
04-09-2012,2012,3,9,4,20120904,September,Sep 2012,Q3 2012,1,Tuesday,09-Sep-12,37,20120900,20120300,12,FY13
05-09-2012,2012,3,9,5,20120905,September,Sep 2012,Q3 2012,2,Wednesday,09-Sep-12,37,20120900,20120300,12,FY13
06-09-2012,2012,3,9,6,20120906,September,Sep 2012,Q3 2012,3,Thursday,09-Sep-12,37,20120900,20120300,12,FY13
07-09-2012,2012,3,9,7,20120907,September,Sep 2012,Q3 2012,4,Friday,09-Sep-12,37,20120900,20120300,12,FY13
08-09-2012,2012,3,9,8,20120908,September,Sep 2012,Q3 2012,5,Saturday,09-Sep-12,37,20120900,20120300,12,FY13
09-09-2012,2012,3,9,9,20120909,September,Sep 2012,Q3 2012,6,Sunday,09-Sep-12,37,20120900,20120300,12,FY13
10-09-2012,2012,3,9,10,20120910,September,Sep 2012,Q3 2012,0,Monday,16-Sep-12,38,20120900,20120300,12,FY13
11-09-2012,2012,3,9,11,20120911,September,Sep 2012,Q3 2012,1,Tuesday,16-Sep-12,38,20120900,20120300,12,FY13
12-09-2012,2012,3,9,12,20120912,September,Sep 2012,Q3 2012,2,Wednesday,16-Sep-12,38,20120900,20120300,12,FY13
13-09-2012,2012,3,9,13,20120913,September,Sep 2012,Q3 2012,3,Thursday,16-Sep-12,38,20120900,20120300,12,FY13
14-09-2012,2012,3,9,14,20120914,September,Sep 2012,Q3 2012,4,Friday,16-Sep-12,38,20120900,20120300,12,FY13
15-09-2012,2012,3,9,15,20120915,September,Sep 2012,Q3 2012,5,Saturday,16-Sep-12,38,20120900,20120300,12,FY13
16-09-2012,2012,3,9,16,20120916,September,Sep 2012,Q3 2012,6,Sunday,16-Sep-12,38,20120900,20120300,12,FY13
17-09-2012,2012,3,9,17,20120917,September,Sep 2012,Q3 2012,0,Monday,23-Sep-12,39,20120900,20120300,12,FY13
18-09-2012,2012,3,9,18,20120918,September,Sep 2012,Q3 2012,1,Tuesday,23-Sep-12,39,20120900,20120300,12,FY13
19-09-2012,2012,3,9,19,20120919,September,Sep 2012,Q3 2012,2,Wednesday,23-Sep-12,39,20120900,20120300,12,FY13
20-09-2012,2012,3,9,20,20120920,September,Sep 2012,Q3 2012,3,Thursday,23-Sep-12,39,20120900,20120300,12,FY13
21-09-2012,2012,3,9,21,20120921,September,Sep 2012,Q3 2012,4,Friday,23-Sep-12,39,20120900,20120300,12,FY13
22-09-2012,2012,3,9,22,20120922,September,Sep 2012,Q3 2012,5,Saturday,23-Sep-12,39,20120900,20120300,12,FY13
23-09-2012,2012,3,9,23,20120923,September,Sep 2012,Q3 2012,6,Sunday,23-Sep-12,39,20120900,20120300,12,FY13
24-09-2012,2012,3,9,24,20120924,September,Sep 2012,Q3 2012,0,Monday,30-Sep-12,40,20120900,20120300,12,FY13
25-09-2012,2012,3,9,25,20120925,September,Sep 2012,Q3 2012,1,Tuesday,30-Sep-12,40,20120900,20120300,12,FY13
26-09-2012,2012,3,9,26,20120926,September,Sep 2012,Q3 2012,2,Wednesday,30-Sep-12,40,20120900,20120300,12,FY13
27-09-2012,2012,3,9,27,20120927,September,Sep 2012,Q3 2012,3,Thursday,30-Sep-12,40,20120900,20120300,12,FY13
28-09-2012,2012,3,9,28,20120928,September,Sep 2012,Q3 2012,4,Friday,30-Sep-12,40,20120900,20120300,12,FY13
29-09-2012,2012,3,9,29,20120929,September,Sep 2012,Q3 2012,5,Saturday,30-Sep-12,40,20120900,20120300,12,FY13
30-09-2012,2012,3,9,30,20120930,September,Sep 2012,Q3 2012,6,Sunday,30-Sep-12,40,20120900,20120300,12,FY13
01-04-2012,2012,2,4,1,20120401,April,Apr 2012,Q2 2012,6,Sunday,01-Apr-12,14,20120400,20120200,12,FY13
02-04-2012,2012,2,4,2,20120402,April,Apr 2012,Q2 2012,0,Monday,08-Apr-12,15,20120400,20120200,12,FY13
03-04-2012,2012,2,4,3,20120403,April,Apr 2012,Q2 2012,1,Tuesday,08-Apr-12,15,20120400,20120200,12,FY13
04-04-2012,2012,2,4,4,20120404,April,Apr 2012,Q2 2012,2,Wednesday,08-Apr-12,15,20120400,20120200,12,FY13
05-04-2012,2012,2,4,5,20120405,April,Apr 2012,Q2 2012,3,Thursday,08-Apr-12,15,20120400,20120200,12,FY13
06-04-2012,2012,2,4,6,20120406,April,Apr 2012,Q2 2012,4,Friday,08-Apr-12,15,20120400,20120200,12,FY13
07-04-2012,2012,2,4,7,20120407,April,Apr 2012,Q2 2012,5,Saturday,08-Apr-12,15,20120400,20120200,12,FY13
08-04-2012,2012,2,4,8,20120408,April,Apr 2012,Q2 2012,6,Sunday,08-Apr-12,15,20120400,20120200,12,FY13
09-04-2012,2012,2,4,9,20120409,April,Apr 2012,Q2 2012,0,Monday,15-Apr-12,16,20120400,20120200,12,FY13
10-04-2012,2012,2,4,10,20120410,April,Apr 2012,Q2 2012,1,Tuesday,15-Apr-12,16,20120400,20120200,12,FY13
11-04-2012,2012,2,4,11,20120411,April,Apr 2012,Q2 2012,2,Wednesday,15-Apr-12,16,20120400,20120200,12,FY13
12-04-2012,2012,2,4,12,20120412,April,Apr 2012,Q2 2012,3,Thursday,15-Apr-12,16,20120400,20120200,12,FY13
13-04-2012,2012,2,4,13,20120413,April,Apr 2012,Q2 2012,4,Friday,15-Apr-12,16,20120400,20120200,12,FY13
14-04-2012,2012,2,4,14,20120414,April,Apr 2012,Q2 2012,5,Saturday,15-Apr-12,16,20120400,20120200,12,FY13
15-04-2012,2012,2,4,15,20120415,April,Apr 2012,Q2 2012,6,Sunday,15-Apr-12,16,20120400,20120200,12,FY13
16-04-2012,2012,2,4,16,20120416,April,Apr 2012,Q2 2012,0,Monday,22-Apr-12,17,20120400,20120200,12,FY13
17-04-2012,2012,2,4,17,20120417,April,Apr 2012,Q2 2012,1,Tuesday,22-Apr-12,17,20120400,20120200,12,FY13
18-04-2012,2012,2,4,18,20120418,April,Apr 2012,Q2 2012,2,Wednesday,22-Apr-12,17,20120400,20120200,12,FY13
19-04-2012,2012,2,4,19,20120419,April,Apr 2012,Q2 2012,3,Thursday,22-Apr-12,17,20120400,20120200,12,FY13
20-04-2012,2012,2,4,20,20120420,April,Apr 2012,Q2 2012,4,Friday,22-Apr-12,17,20120400,20120200,12,FY13
21-04-2012,2012,2,4,21,20120421,April,Apr 2012,Q2 2012,5,Saturday,22-Apr-12,17,20120400,20120200,12,FY13
22-04-2012,2012,2,4,22,20120422,April,Apr 2012,Q2 2012,6,Sunday,22-Apr-12,17,20120400,20120200,12,FY13
23-04-2012,2012,2,4,23,20120423,April,Apr 2012,Q2 2012,0,Monday,29-Apr-12,18,20120400,20120200,12,FY13
24-04-2012,2012,2,4,24,20120424,April,Apr 2012,Q2 2012,1,Tuesday,29-Apr-12,18,20120400,20120200,12,FY13
25-04-2012,2012,2,4,25,20120425,April,Apr 2012,Q2 2012,2,Wednesday,29-Apr-12,18,20120400,20120200,12,FY13
26-04-2012,2012,2,4,26,20120426,April,Apr 2012,Q2 2012,3,Thursday,29-Apr-12,18,20120400,20120200,12,FY13
27-04-2012,2012,2,4,27,20120427,April,Apr 2012,Q2 2012,4,Friday,29-Apr-12,18,20120400,20120200,12,FY13
28-04-2012,2012,2,4,28,20120428,April,Apr 2012,Q2 2012,5,Saturday,29-Apr-12,18,20120400,20120200,12,FY13
29-04-2012,2012,2,4,29,20120429,April,Apr 2012,Q2 2012,6,Sunday,29-Apr-12,18,20120400,20120200,12,FY13
30-04-2012,2012,2,4,30,20120430,April,Apr 2012,Q2 2012,0,Monday,06-May-12,19,20120400,20120200,12,FY13
01-05-2012,2012,2,5,1,20120501,May,May 2012,Q2 2012,1,Tuesday,06-May-12,19,20120500,20120200,12,FY13
02-05-2012,2012,2,5,2,20120502,May,May 2012,Q2 2012,2,Wednesday,06-May-12,19,20120500,20120200,12,FY13
03-05-2012,2012,2,5,3,20120503,May,May 2012,Q2 2012,3,Thursday,06-May-12,19,20120500,20120200,12,FY13
04-05-2012,2012,2,5,4,20120504,May,May 2012,Q2 2012,4,Friday,06-May-12,19,20120500,20120200,12,FY13
05-05-2012,2012,2,5,5,20120505,May,May 2012,Q2 2012,5,Saturday,06-May-12,19,20120500,20120200,12,FY13
06-05-2012,2012,2,5,6,20120506,May,May 2012,Q2 2012,6,Sunday,06-May-12,19,20120500,20120200,12,FY13
07-05-2012,2012,2,5,7,20120507,May,May 2012,Q2 2012,0,Monday,13-May-12,20,20120500,20120200,12,FY13
08-05-2012,2012,2,5,8,20120508,May,May 2012,Q2 2012,1,Tuesday,13-May-12,20,20120500,20120200,12,FY13
09-05-2012,2012,2,5,9,20120509,May,May 2012,Q2 2012,2,Wednesday,13-May-12,20,20120500,20120200,12,FY13
10-05-2012,2012,2,5,10,20120510,May,May 2012,Q2 2012,3,Thursday,13-May-12,20,20120500,20120200,12,FY13
11-05-2012,2012,2,5,11,20120511,May,May 2012,Q2 2012,4,Friday,13-May-12,20,20120500,20120200,12,FY13
12-05-2012,2012,2,5,12,20120512,May,May 2012,Q2 2012,5,Saturday,13-May-12,20,20120500,20120200,12,FY13
13-05-2012,2012,2,5,13,20120513,May,May 2012,Q2 2012,6,Sunday,13-May-12,20,20120500,20120200,12,FY13
14-05-2012,2012,2,5,14,20120514,May,May 2012,Q2 2012,0,Monday,20-May-12,21,20120500,20120200,12,FY13
15-05-2012,2012,2,5,15,20120515,May,May 2012,Q2 2012,1,Tuesday,20-May-12,21,20120500,20120200,12,FY13
16-05-2012,2012,2,5,16,20120516,May,May 2012,Q2 2012,2,Wednesday,20-May-12,21,20120500,20120200,12,FY13
17-05-2012,2012,2,5,17,20120517,May,May 2012,Q2 2012,3,Thursday,20-May-12,21,20120500,20120200,12,FY13
18-05-2012,2012,2,5,18,20120518,May,May 2012,Q2 2012,4,Friday,20-May-12,21,20120500,20120200,12,FY13
19-05-2012,2012,2,5,19,20120519,May,May 2012,Q2 2012,5,Saturday,20-May-12,21,20120500,20120200,12,FY13
20-05-2012,2012,2,5,20,20120520,May,May 2012,Q2 2012,6,Sunday,20-May-12,21,20120500,20120200,12,FY13
21-05-2012,2012,2,5,21,20120521,May,May 2012,Q2 2012,0,Monday,27-May-12,22,20120500,20120200,12,FY13
22-05-2012,2012,2,5,22,20120522,May,May 2012,Q2 2012,1,Tuesday,27-May-12,22,20120500,20120200,12,FY13
23-05-2012,2012,2,5,23,20120523,May,May 2012,Q2 2012,2,Wednesday,27-May-12,22,20120500,20120200,12,FY13
24-05-2012,2012,2,5,24,20120524,May,May 2012,Q2 2012,3,Thursday,27-May-12,22,20120500,20120200,12,FY13
25-05-2012,2012,2,5,25,20120525,May,May 2012,Q2 2012,4,Friday,27-May-12,22,20120500,20120200,12,FY13
26-05-2012,2012,2,5,26,20120526,May,May 2012,Q2 2012,5,Saturday,27-May-12,22,20120500,20120200,12,FY13
27-05-2012,2012,2,5,27,20120527,May,May 2012,Q2 2012,6,Sunday,27-May-12,22,20120500,20120200,12,FY13
28-05-2012,2012,2,5,28,20120528,May,May 2012,Q2 2012,0,Monday,03-Jun-12,23,20120500,20120200,12,FY13
29-05-2012,2012,2,5,29,20120529,May,May 2012,Q2 2012,1,Tuesday,03-Jun-12,23,20120500,20120200,12,FY13
30-05-2012,2012,2,5,30,20120530,May,May 2012,Q2 2012,2,Wednesday,03-Jun-12,23,20120500,20120200,12,FY13
31-05-2012,2012,2,5,31,20120531,May,May 2012,Q2 2012,3,Thursday,03-Jun-12,23,20120500,20120200,12,FY13
01-06-2012,2012,2,6,1,20120601,June,Jun 2012,Q2 2012,4,Friday,03-Jun-12,23,20120600,20120200,12,FY13
02-06-2012,2012,2,6,2,20120602,June,Jun 2012,Q2 2012,5,Saturday,03-Jun-12,23,20120600,20120200,12,FY13
03-06-2012,2012,2,6,3,20120603,June,Jun 2012,Q2 2012,6,Sunday,03-Jun-12,23,20120600,20120200,12,FY13
04-06-2012,2012,2,6,4,20120604,June,Jun 2012,Q2 2012,0,Monday,10-Jun-12,24,20120600,20120200,12,FY13
05-06-2012,2012,2,6,5,20120605,June,Jun 2012,Q2 2012,1,Tuesday,10-Jun-12,24,20120600,20120200,12,FY13
06-06-2012,2012,2,6,6,20120606,June,Jun 2012,Q2 2012,2,Wednesday,10-Jun-12,24,20120600,20120200,12,FY13
07-06-2012,2012,2,6,7,20120607,June,Jun 2012,Q2 2012,3,Thursday,10-Jun-12,24,20120600,20120200,12,FY13
08-06-2012,2012,2,6,8,20120608,June,Jun 2012,Q2 2012,4,Friday,10-Jun-12,24,20120600,20120200,12,FY13
09-06-2012,2012,2,6,9,20120609,June,Jun 2012,Q2 2012,5,Saturday,10-Jun-12,24,20120600,20120200,12,FY13
10-06-2012,2012,2,6,10,20120610,June,Jun 2012,Q2 2012,6,Sunday,10-Jun-12,24,20120600,20120200,12,FY13
11-06-2012,2012,2,6,11,20120611,June,Jun 2012,Q2 2012,0,Monday,17-Jun-12,25,20120600,20120200,12,FY13
12-06-2012,2012,2,6,12,20120612,June,Jun 2012,Q2 2012,1,Tuesday,17-Jun-12,25,20120600,20120200,12,FY13
13-06-2012,2012,2,6,13,20120613,June,Jun 2012,Q2 2012,2,Wednesday,17-Jun-12,25,20120600,20120200,12,FY13
14-06-2012,2012,2,6,14,20120614,June,Jun 2012,Q2 2012,3,Thursday,17-Jun-12,25,20120600,20120200,12,FY13
15-06-2012,2012,2,6,15,20120615,June,Jun 2012,Q2 2012,4,Friday,17-Jun-12,25,20120600,20120200,12,FY13
16-06-2012,2012,2,6,16,20120616,June,Jun 2012,Q2 2012,5,Saturday,17-Jun-12,25,20120600,20120200,12,FY13
17-06-2012,2012,2,6,17,20120617,June,Jun 2012,Q2 2012,6,Sunday,17-Jun-12,25,20120600,20120200,12,FY13
18-06-2012,2012,2,6,18,20120618,June,Jun 2012,Q2 2012,0,Monday,24-Jun-12,26,20120600,20120200,12,FY13
19-06-2012,2012,2,6,19,20120619,June,Jun 2012,Q2 2012,1,Tuesday,24-Jun-12,26,20120600,20120200,12,FY13
20-06-2012,2012,2,6,20,20120620,June,Jun 2012,Q2 2012,2,Wednesday,24-Jun-12,26,20120600,20120200,12,FY13
21-06-2012,2012,2,6,21,20120621,June,Jun 2012,Q2 2012,3,Thursday,24-Jun-12,26,20120600,20120200,12,FY13
22-06-2012,2012,2,6,22,20120622,June,Jun 2012,Q2 2012,4,Friday,24-Jun-12,26,20120600,20120200,12,FY13
23-06-2012,2012,2,6,23,20120623,June,Jun 2012,Q2 2012,5,Saturday,24-Jun-12,26,20120600,20120200,12,FY13
24-06-2012,2012,2,6,24,20120624,June,Jun 2012,Q2 2012,6,Sunday,24-Jun-12,26,20120600,20120200,12,FY13
25-06-2012,2012,2,6,25,20120625,June,Jun 2012,Q2 2012,0,Monday,01-Jul-12,27,20120600,20120200,12,FY13
26-06-2012,2012,2,6,26,20120626,June,Jun 2012,Q2 2012,1,Tuesday,01-Jul-12,27,20120600,20120200,12,FY13
27-06-2012,2012,2,6,27,20120627,June,Jun 2012,Q2 2012,2,Wednesday,01-Jul-12,27,20120600,20120200,12,FY13
28-06-2012,2012,2,6,28,20120628,June,Jun 2012,Q2 2012,3,Thursday,01-Jul-12,27,20120600,20120200,12,FY13
29-06-2012,2012,2,6,29,20120629,June,Jun 2012,Q2 2012,4,Friday,01-Jul-12,27,20120600,20120200,12,FY13
30-06-2012,2012,2,6,30,20120630,June,Jun 2012,Q2 2012,5,Saturday,01-Jul-12,27,20120600,20120200,12,FY13
01-10-2012,2012,4,10,1,20121001,October,Oct 2012,Q4 2012,0,Monday,07-Oct-12,41,20121000,20120400,12,FY13
02-10-2012,2012,4,10,2,20121002,October,Oct 2012,Q4 2012,1,Tuesday,07-Oct-12,41,20121000,20120400,12,FY13
03-10-2012,2012,4,10,3,20121003,October,Oct 2012,Q4 2012,2,Wednesday,07-Oct-12,41,20121000,20120400,12,FY13
04-10-2012,2012,4,10,4,20121004,October,Oct 2012,Q4 2012,3,Thursday,07-Oct-12,41,20121000,20120400,12,FY13
05-10-2012,2012,4,10,5,20121005,October,Oct 2012,Q4 2012,4,Friday,07-Oct-12,41,20121000,20120400,12,FY13
06-10-2012,2012,4,10,6,20121006,October,Oct 2012,Q4 2012,5,Saturday,07-Oct-12,41,20121000,20120400,12,FY13
07-10-2012,2012,4,10,7,20121007,October,Oct 2012,Q4 2012,6,Sunday,07-Oct-12,41,20121000,20120400,12,FY13
08-10-2012,2012,4,10,8,20121008,October,Oct 2012,Q4 2012,0,Monday,14-Oct-12,42,20121000,20120400,12,FY13
09-10-2012,2012,4,10,9,20121009,October,Oct 2012,Q4 2012,1,Tuesday,14-Oct-12,42,20121000,20120400,12,FY13
10-10-2012,2012,4,10,10,20121010,October,Oct 2012,Q4 2012,2,Wednesday,14-Oct-12,42,20121000,20120400,12,FY13
11-10-2012,2012,4,10,11,20121011,October,Oct 2012,Q4 2012,3,Thursday,14-Oct-12,42,20121000,20120400,12,FY13
12-10-2012,2012,4,10,12,20121012,October,Oct 2012,Q4 2012,4,Friday,14-Oct-12,42,20121000,20120400,12,FY13
13-10-2012,2012,4,10,13,20121013,October,Oct 2012,Q4 2012,5,Saturday,14-Oct-12,42,20121000,20120400,12,FY13
14-10-2012,2012,4,10,14,20121014,October,Oct 2012,Q4 2012,6,Sunday,14-Oct-12,42,20121000,20120400,12,FY13
15-10-2012,2012,4,10,15,20121015,October,Oct 2012,Q4 2012,0,Monday,21-Oct-12,43,20121000,20120400,12,FY13
16-10-2012,2012,4,10,16,20121016,October,Oct 2012,Q4 2012,1,Tuesday,21-Oct-12,43,20121000,20120400,12,FY13
17-10-2012,2012,4,10,17,20121017,October,Oct 2012,Q4 2012,2,Wednesday,21-Oct-12,43,20121000,20120400,12,FY13
18-10-2012,2012,4,10,18,20121018,October,Oct 2012,Q4 2012,3,Thursday,21-Oct-12,43,20121000,20120400,12,FY13
19-10-2012,2012,4,10,19,20121019,October,Oct 2012,Q4 2012,4,Friday,21-Oct-12,43,20121000,20120400,12,FY13
20-10-2012,2012,4,10,20,20121020,October,Oct 2012,Q4 2012,5,Saturday,21-Oct-12,43,20121000,20120400,12,FY13
21-10-2012,2012,4,10,21,20121021,October,Oct 2012,Q4 2012,6,Sunday,21-Oct-12,43,20121000,20120400,12,FY13
22-10-2012,2012,4,10,22,20121022,October,Oct 2012,Q4 2012,0,Monday,28-Oct-12,44,20121000,20120400,12,FY13
23-10-2012,2012,4,10,23,20121023,October,Oct 2012,Q4 2012,1,Tuesday,28-Oct-12,44,20121000,20120400,12,FY13
24-10-2012,2012,4,10,24,20121024,October,Oct 2012,Q4 2012,2,Wednesday,28-Oct-12,44,20121000,20120400,12,FY13
